W-0277|done|low|touched|0|0
W-0278|gated|high|touched|0|0
W-0279|done|low|touched|3|0
W-0280|queued|medium|none|0|0
W-0311|queued|medium|none|0|0
W-0321|queued|medium|none|0|0
W-0322|gated|high|touched|2|2
W-0323|done|low|touched|0|0
W-0324|queued|medium|touched|0|0
W-0325|done|high|touched|0|0
W-0326|done|high|touched|0|0
W-0327|done|high|touched|0|0
W-0328|done|low|touched|0|0
W-0329|done|medium|touched|0|0
W-0330|queued|medium|none|0|0
W-0331|done|high|touched|0|0
W-0332|done|high|none|0|0
W-0333|gated|high|touched|0|0
W-0334|queued|medium|none|0|0
W-0335|gated|medium|touched|0|0
W-0336|gated|low|touched|0|0
W-0337|queued|medium|none|0|0
W-0338|queued|medium|touched|0|0
W-0339|done|medium|touched|0|0
W-0340|gated|high|touched|0|0
W-0341|done|high|touched|0|0
W-0342|gated|high|touched|0|0
W-0343|done|low|touched|0|0
W-0344|gated|high|touched|0|0
W-0345|done|low|touched|0|0
W-0346|queued|medium|touched|0|0
W-0347|done|critical|touched|0|0
W-0348|done|high|touched|0|0
W-0349|done|medium|touched|0|0
W-0350|gated|high|touched|0|0
W-0351|queued|medium|touched|0|0
W-0361|done|high|touched|0|0
W-0362|closed_duplicate|high|touched|0|0
W-0363|done|high|touched|0|0
W-0364|done|high|touched|0|0
W-0365|done|high|touched|0|0
W-0366|queued|medium|none|0|0
W-0367|queued|medium|none|0|0
W-0368|done|low|touched|0|0
W-0369|queued|medium|none|0|0
W-0370|queued|medium|none|0|0
W-0371|queued|medium|touched|0|0
W-0372|done|low|touched|0|0
W-0373|queued|medium|none|0|0
W-0374|done|low|touched|0|0
W-0375|done|low|touched|0|0
W-0376|queued|medium|none|0|0
W-0381|done|high|touched|0|0
W-0382|done|medium|touched|0|0
W-0383|gated|medium|touched|0|0
W-0384|done|high|touched|0|0
W-0385|queued|medium|none|0|0
W-0391|done|high|touched|6|0
W-0392|queued|medium|touched|0|3
W-0393|done|medium|touched|5|0
W-0394|gated|medium|touched|7|1
W-0395|gated|high|touched|7|1
W-0396|gated|high|touched|5|1
W-0397|done|high|touched|8|0
W-0398|queued|medium|none|0|3
W-0399|gated|medium|touched|8|1
W-0401|gated|high|touched|0|0
W-0411|gated|high|touched|0|0
W-0412|done|high|touched|0|0
W-0413|queued|medium|none|0|0
W-0414|queued|medium|none|0|0
W-0415|closed_invalid|medium|touched|0|0
W-0416|queued|medium|none|0|0
W-0421|done|high|touched|0|0
W-0422|done|medium|touched|0|0
W-0423|done|low|touched|0|0
W-0424|queued|medium|none|0|0
W-0425|done|low|touched|0|0
W-0426|queued|medium|touched|0|0
W-0431|gated|medium|touched|4|1
W-0432|gated|high|touched|1|10
W-0433|gated|medium|touched|4|3
W-0441|done|high|touched|0|0
W-0442|claimed|medium|touched|0|0
W-0443|queued|medium|none|0|0
W-0444|done|medium|touched|0|0
W-0451|gated|high|touched|0|5
W-0452|gated|high|touched|0|5
W-0453|queued|medium|none|0|3
W-0454|done|low|touched|0|3
W-0461|queued|medium|touched|0|0
W-0462|queued|high|none|0|0
W-0463|gated|critical|touched|0|0
W-0464|gated|high|touched|0|0
W-0465|done|medium|touched|0|0
W-0466|done|medium|touched|0|0
W-0467|done|medium|touched|0|0
W-0468|done|low|touched|0|0
W-0469|done|medium|touched|0|0
W-0470|gated|medium|touched|0|0
W-0471|done|high|touched|0|0
W-0472|queued|medium|touched|0|0
W-0473|done|high|touched|0|0
W-0474|done|high|touched|0|0
W-0475|done|high|touched|0|0
W-0476|queued|medium|touched|0|0
W-0477|done|medium|touched|0|0
W-0478|done|medium|touched|0|0
W-0479|done|critical|touched|0|0
W-0480|done|high|touched|0|0
W-0481|queued|low|touched|0|0
W-0482|done|high|touched|0|0
W-0483|blocked|medium|touched|0|0
W-0484|done|medium|touched|0|0
W-0485|done|high|touched|0|0
W-0486|done|high|touched|0|0
W-0487|closed_duplicate|high|touched|0|0
W-0488|queued|medium|touched|0|0
W-0489|done|high|touched|0|0
W-0490|done|high|touched|0|0
W-0491|review|high|touched|0|0
W-0492|review|medium|touched|0|0
W-0493|closed_invalid|low|touched|0|0
W-0494|review|medium|touched|0|0
W-0495|queued|high|touched|0|0
W-0496|open|low|touched|0|0
W-0497|open|low|touched|0|0
W-0498|open|low|touched|0|0
W-0499|open|medium|touched|0|0
W-0500|open|medium|touched|0|0
W-0501|done|high|touched|0|0
W-0502|done|high|touched|0|0
W-0503|queued|low|touched|0|0
W-0504|queued|low|touched|0|0
W-0505|done|low|touched|0|0
W-0506|queued|low|touched|0|0
W-0507|queued|medium|touched|0|0
W-0508|queued|high|touched|0|0
W-0509|done|critical|touched|0|0
W-0510|queued|medium|touched|0|0
W-0511|done|high|touched|0|0
W-0512|done|high|touched|0|0
W-0513|queued|high|touched|0|0
W-0514|queued|high|touched|0|0
W-0515|queued|high|touched|0|0
W-0516|queued|medium|touched|0|0
W-0517|done|high|touched|0|0
W-0518|queued|medium|touched|0|0
W-0519|done|medium|touched|0|0
W-0520|done|high|touched|0|0
W-0521|done|low|touched|0|0
W-0522|in_progress|medium|touched|0|0
W-0523|gated|high|touched|0|0
W-0524|queued|high|touched|0|0
W-0525|queued|medium|none|0|0
W-0526|queued|medium|none|0|0
W-0527|queued|low|touched|0|0
W-0528|gated|high|touched|7|0
W-0529|gated|high|touched|6|0
W-0530|gated|high|touched|4|0
